Date,Symbol,Order,Shares
2006-01-03,SINE_FAST_NOISE,BUY,500
2006-01-09,SINE_FAST_NOISE,SELL,1000
2006-01-10,SINE_FAST_NOISE,BUY,1000
2006-01-13,SINE_FAST_NOISE,SELL,1000
2006-01-17,SINE_FAST_NOISE,BUY,1000
2006-01-26,SINE_FAST_NOISE,SELL,1000
2006-01-31,SINE_FAST_NOISE,BUY,1000
2006-02-06,SINE_FAST_NOISE,SELL,1000
2006-02-09,SINE_FAST_NOISE,BUY,1000
2006-02-13,SINE_FAST_NOISE,SELL,1000
2006-02-16,SINE_FAST_NOISE,BUY,1000
2006-02-17,SINE_FAST_NOISE,SELL,1000
2006-02-22,SINE_FAST_NOISE,BUY,1000
2006-02-24,SINE_FAST_NOISE,SELL,1000
2006-02-28,SINE_FAST_NOISE,BUY,1000
2006-03-07,SINE_FAST_NOISE,SELL,1000
2006-03-16,SINE_FAST_NOISE,BUY,1000
2006-03-23,SINE_FAST_NOISE,SELL,1000
2006-03-30,SINE_FAST_NOISE,BUY,1000
2006-04-03,SINE_FAST_NOISE,SELL,1000
2006-04-04,SINE_FAST_NOISE,BUY,1000
2006-04-07,SINE_FAST_NOISE,SELL,1000
2006-04-12,SINE_FAST_NOISE,BUY,1000
2006-04-24,SINE_FAST_NOISE,SELL,1000
2006-04-26,SINE_FAST_NOISE,BUY,1000
2006-05-05,SINE_FAST_NOISE,SELL,1000
2006-05-08,SINE_FAST_NOISE,BUY,1000
2006-05-11,SINE_FAST_NOISE,SELL,1000
2006-05-12,SINE_FAST_NOISE,BUY,1000
2006-05-17,SINE_FAST_NOISE,SELL,1000
2006-05-18,SINE_FAST_NOISE,BUY,1000
2006-05-23,SINE_FAST_NOISE,SELL,1000
2006-05-24,SINE_FAST_NOISE,BUY,1000
2006-05-26,SINE_FAST_NOISE,SELL,1000
2006-06-01,SINE_FAST_NOISE,BUY,1000
2006-06-07,SINE_FAST_NOISE,SELL,1000
2006-06-08,SINE_FAST_NOISE,BUY,1000
2006-06-09,SINE_FAST_NOISE,SELL,1000
2006-06-13,SINE_FAST_NOISE,BUY,1000
2006-06-14,SINE_FAST_NOISE,SELL,1000
2006-06-15,SINE_FAST_NOISE,BUY,1000
2006-06-21,SINE_FAST_NOISE,SELL,1000
